region_name,year,vehicle_std,activity_km,share_activity,co2e_tonnes
North East,2019,bus,246389954.0,0.0120555927398716,130306.407047325
South West,2020,bus,231423092.0,0.0051662133955099,122390.99499285
East Midlands,2020,bus,301751250.0,0.0080245830426651,159584.920453125
Scotland,2020,bus,377551164.0,0.0101258173813583,199672.65247095
Wales,2020,bus,119573962.0,0.0050984347873822,63238.184478225
North West,2020,bus,208087662.0,0.0044398355921669,110049.761144475
London,2020,bus,363871774.0,0.0136093321134492,192438.136077075
East of England,2020,bus,209536068.0,0.0042857989295377,110815.76876265
Yorkshire and the Humber,2020,bus,190867724.0,0.0051290035202435,100942.78168395
South East,2020,bus,262161486.0,0.0038402874204065,138647.378889675
West Midlands,2020,bus,148542082.0,0.0036592134475103,78558.336841725
North East,2020,bus,206800190.0,0.0127610554435583,109368.86548387501
South West,2021,bus,264092694.0,0.0051915100935484,139668.722380575
East Midlands,2021,bus,322994538.0,0.0076416678406481,170819.69885302498
Scotland,2021,bus,424222024.0,0.0098713651768494,224355.1201677
Wales,2021,bus,147898346.0,0.0055743929734746,78217.88901142501
North West,2021,bus,226434138.0,0.0043296837207584,119752.52430802501
London,2021,bus,384632260.0,0.0129516129906304,203417.57860425
East of England,2021,bus,249769568.0,0.0046015453127686,132093.7581564
Yorkshire and the Humber,2021,bus,220157712.0,0.0053865053865053,116433.1579626
South East,2021,bus,296279494.0,0.0039249379599703,156691.11389557502
West Midlands,2021,bus,178153938.0,0.0039115225610402,94218.93703552501
North East,2021,bus,192477064.0,0.0106640036378875,101793.9012597
South West,2022,bus,273265932.0,0.0050133156971697,144520.10396235
East Midlands,2022,bus,329592832.0,0.0071208280744209,174309.2891136
Scotland,2022,bus,472663158.0,0.0100658030022619,249973.819397775
Wales,2022,bus,177349268.0,0.006070421293848,93793.37724765
North West,2022,bus,252183578.0,0.0044614894028949,133370.437520025
London,2022,bus,398794452.0,0.0129810261192075,210907.43087085
East of England,2022,bus,265058298.0,0.0044427540219467,140179.394126025
Yorkshire and the Humber,2022,bus,250252370.0,0.0057013169858915,132349.094029125
South East,2022,bus,319936792.0,0.0038512129964878,169202.5716591
West Midlands,2022,bus,193281734.0,0.0038421918088693,102219.461047575
North East,2022,bus,207443926.0,0.0104980250030541,109709.31331417501
South West,2023,bus,269242582.0,0.0048236193002436,142392.305022975
East Midlands,2023,bus,317200914.0,0.0067103583283683,167755.668380325
Scotland,2023,bus,453512012.0,0.0094445859531055,239845.49644635
Wales,2023,bus,176222730.0,0.0059192068803347,93197.593544625
North West,2023,bus,248643030.0,0.0043016440911558,131497.974453375
London,2023,bus,407163020.0,0.0131794171884604,215333.25266475
East of England,2023,bus,260713080.0,0.0042742709993351,137881.3712715
Yorkshire and the Humber,2023,bus,244136878.0,0.0054414106776475,129114.839641275
South East,2023,bus,319775858.0,0.0037616118705642,169117.459701525
West Midlands,2023,bus,194408272.0,0.0037725831888946,102815.24475059999
North East,2023,bus,196500414.0,0.009638915641726,103921.700199075
South West,2024,bus,274070602.0,0.0048477223106242,144945.663750225
East Midlands,2024,bus,318488386.0,0.0066414521926188,168436.564040925
Scotland,2024,bus,456408824.0,0.0093277813957465,241377.51168270002
Wales,2024,bus,179602344.0,0.0059510160986716,94984.9446537
North West,2024,bus,257172532.0,0.0043439966944305,136008.90820485
London,2024,bus,415370654.0,0.0132818731506496,219673.962501075
East of England,2024,bus,263127090.0,0.0042709813591908,139158.05063512502
Yorkshire and the Humber,2024,bus,247033690.0,0.0054388264890337,130646.85487762501
South East,2024,bus,328466294.0,0.0038077647805078,173713.50541057502
West Midlands,2024,bus,197948820.0,0.0037562298446203,104687.70781725
North East,2024,bus,201167500.0,0.0095989187777888,106389.94696875
South West,2015,lgv,8167722368.0,0.1529135281711358,1652575.2667174402
East Midlands,2015,lgv,6577533514.0,0.1490298891145573,1330832.35588762
Scotland,2015,lgv,7065646336.0,0.1568633055483105,1429592.2231628802
Wales,2015,lgv,4464791962.0,0.155355082932948,903361.35767146
North West,2015,lgv,8042998518.0,0.142631274026593,1627339.89014694
London,2015,lgv,4538660668.0,0.1435201677336617,918307.21295644
East of England,2015,lgv,9006993178.0,0.155697001900067,1822384.92970474
Yorkshire and the Humber,2015,lgv,6721408510.0,0.1540217507550809,1359942.5838283
South East,2015,lgv,12513262236.0,0.1457718951246262,2531808.3482098803
West Midlands,2015,lgv,7177656400.0,0.142786252821309,1452255.2194120002
North East,2015,lgv,2705783342.0,0.1449359068299957,547461.14358686
South West,2016,lgv,8755614270.0,0.1584354769663559,1771523.4352491
East Midlands,2016,lgv,6729616144.0,0.148336289464349,1361603.23441552
Scotland,2016,lgv,7721452386.0,0.1658663569139502,1562281.4612593802
Wales,2016,lgv,4788752104.0,0.1602783702841876,968908.2132023202
North West,2016,lgv,8270720128.0,0.1457788468629976,1673414.80349824
London,2016,lgv,5189155896.0,0.160553702136135,1049921.91243768
East of England,2016,lgv,9383417804.0,0.1593290831732464,1898546.92428332
Yorkshire and the Humber,2016,lgv,7151263224.0,0.1585499438031862,1446915.08811192
South East,2016,lgv,13189828772.0,0.1509794746906098,2668698.05543876
West Midlands,2016,lgv,7675586196.0,0.1495259712573048,1553001.35503668
North East,2016,lgv,2881362336.0,0.1521504508255929,582986.04144288
South West,2017,lgv,9066538758.0,0.1595790785616157,1834432.7869061402
East Midlands,2017,lgv,6867858450.0,0.1488718184862692,1389573.8001885002
Scotland,2017,lgv,8257040738.0,0.1729173547591283,1670647.05251954
Wales,2017,lgv,4962078022.0,0.1653740533350496,1003977.24619126
North West,2017,lgv,8334610926.0,0.146310662606013,1686341.82865758
London,2017,lgv,5259484054.0,0.1629536184768192,1064151.40864582
East of England,2017,lgv,9916914014.0,0.1626587758291186,2006489.21245262
Yorkshire and the Humber,2017,lgv,7172184644.0,0.1587170437588367,1451148.11902052
South East,2017,lgv,13323243058.0,0.151582898471116,2695691.76792514
West Midlands,2017,lgv,7794355488.0,0.1504136748739099,1577031.94588704
North East,2017,lgv,2973255650.0,0.1540828836642953,601578.8156645
South West,2018,lgv,9055917114.0,0.1595186460858102,1832283.70967562
East Midlands,2018,lgv,6950417592.0,0.1493490101149822,1406277.99138936
Scotland,2018,lgv,8218416578.0,0.1716612826778985,1662832.22622674
